Gene_ID,IL.1_1,IL.1_2,IL.1_3,LPS_1,LPS_2,LPS_3,PAM_1,PAM_2,PAM_3,Con_1,Con_2,Con_3
14159,2.283233812,1.801394324,1.741609012,1.805057528,1.98400942,2.714857027,2.051641599,1.846237071,1.452337439,1.535835959,1.482260517,1.546446688
18550,3.543892944,2.989637362,3.133807648,3.376130847,3.711162899,3.932168007,2.979641668,2.50516908,2.399791979,3.068960525,1.200995946,1.009033481
12144,3.818170924,3.613617967,3.792380061,3.961014121,3.528703554,3.218762134,3.414115068,3.318898634,3.23190149,3.999653739,3.352904799,2.324897534
70461,3.24587833,3.064751121,3.406747121,2.623511353,3.007234998,3.093070803,2.669782307,2.255547517,2.492550636,2.707704402,2.616896365,2.244211243
29875,7.050385675,6.859663155,6.918259674,6.855430331,7.043639519,7.072846672,6.774520153,6.710927852,6.428670556,6.852127373,6.593552428,6.137821704
71968,5.778170226,5.688162825,5.605558575,5.576992371,5.601671996,5.517847889,5.720391694,5.407732182,5.897167051,5.539114,5.807181724,6.213946654
56529,7.328586762,7.596578885,7.512910104,7.4341268,7.489013777,7.390352969,7.616487614,7.776849557,8.021209532,7.484379112,7.838909166,8.548663915
233410,4.348372939,4.057003497,4.035132022,4.211988159,4.217817252,4.541748746,3.663288828,4.279127425,3.727920515,3.992013005,3.922751479,3.817046176
20068,3.02843897,3.52329472,3.191079608,3.517284754,3.310383693,3.194484675,3.089428692,3.148749451,3.774846362,3.054360697,3.899018935,4.288712667
12877,4.819020101,4.58937207,4.630698198,4.495622469,4.850537177,4.730869198,4.660031096,4.998829193,4.118341794,4.425478195,4.513265366,3.690800727
11775,2.816471069,2.617921186,2.439899279,2.722263007,2.753521868,2.703432402,2.804677185,2.59074172,2.621382565,2.029446643,2.463541927,2.565282237
100504421,1.456319775,1.687177785,1.504002122,1.190096959,1.098055895,0.806773464,2.051641599,1.391890051,1.405392385,0.848910118,1.87180365,2.60890124
434204,1.399386899,2.080122657,1.627691678,2.376368499,2.807959672,2.781567672,2.315380254,1.760202448,1.921382852,1.357038045,0.518984477,1.500867142
67148,4.085103237,4.106727048,4.126046,3.784352398,4.080826049,4.158205397,4.277351046,4.494267933,4.454414773,4.250806265,4.365236192,5.031954558
67290,4.515082775,5.001473809,4.719577217,4.791862191,4.57252529,4.564028715,4.733275235,5.026733917,5.191993031,4.313455719,5.117425389,5.901764232
83962,4.403699598,4.381055633,4.223382901,4.142360556,3.971791721,4.305270805,4.142332875,4.712325777,4.223574718,4.059365114,4.160891904,4.568242767
29877,5.391549491,5.410710904,5.324006024,5.265667372,5.399369454,5.662038999,5.179154943,5.451853228,5.714255496,4.820067371,5.177843901,5.669162887
101592,5.438226041,5.274949952,5.271867415,5.770180672,5.974682499,5.857672501,5.37496136,5.300058803,5.382806809,5.348832666,5.371362587,4.654029515
108797,4.525097192,4.788090269,4.996973244,6.100028549,6.224013774,6.4184787,5.417688165,6.03313564,5.433408409,4.916055281,4.730532326,4.705166185
170460,4.84590237,4.829064003,4.966836553,4.591630561,4.611307725,4.438721796,4.85226844,4.412020315,4.871995043,4.674912639,4.604134622,4.617123847
666170,3.24587833,3.346436455,3.440878391,3.264039686,3.2229323,3.341762943,3.414115068,3.4252253,3.444198634,3.271888405,3.404384705,3.255852903
80889,2.869836336,3.027683035,2.828176973,2.929370895,2.607699667,3.304439502,2.941107481,2.77751488,2.469914078,2.486296663,2.363040231,1.866984317
67943,7.152435199,7.280836045,7.195172907,7.053878292,7.054234534,7.019141024,7.103767256,7.289563171,7.421879893,7.339115929,7.520014812,7.735563458
80982,1.246374107,1.483244962,0.551134906,0.805763539,1.14109965,0.105801817,1.04740887,1.187323051,0.752886939,0.91504961,0.245504289,0.362708462
70178,5.427587788,5.204035511,5.35476616,5.412561236,5.212733004,5.384704447,4.926472395,5.354899764,5.317744537,5.272045512,5.738637245,5.344111727
11864,2.679714472,3.008785609,3.150404372,2.646047713,2.847481023,3.153091704,2.295152788,3.006521694,2.300657057,2.27588011,2.929587422,2.65124006
100039239,4.997456052,5.187325114,5.266167721,5.102103568,4.959761655,4.997285153,5.203778424,5.216373756,5.339759594,5.662170458,5.758555934,5.699742838
14085,5.441754764,5.6009495,5.605558575,5.631655424,5.749813962,5.705637925,5.761516886,6.052871417,5.609419351,5.256185172,5.583504201,5.997179606
65098,6.372551986,6.706831416,6.699582981,6.599514373,6.53765512,6.496675186,6.894498404,7.39204666,7.022782269,6.30738844,6.968968983,7.715127069
